,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,"
            FP
          ",DD2,TD3,+/-
101,Amir Johnson,TOR,27,77,43,34,28.8,10.4,4.5,7.9,56.2,0.3,0.9,30.3,1.2,1.9,63.6,2.2,4.3,6.6,1.5,1.6,0.7,1.1,3.5,24.5,13,0,2.5
101,Bismack Biyombo,CHA,21,77,42,35,13.9,2.9,1.1,1.9,61.1,0.0,0.0,0.0,0.6,1.2,51.7,1.4,3.4,4.8,0.1,0.5,0.1,1.1,1.6,11.8,1,0,-0.5
101,Carmelo Anthony,NYK,30,77,35,42,38.7,27.4,9.6,21.3,45.2,2.2,5.4,40.2,6.0,7.0,84.8,1.9,6.2,8.1,3.1,2.6,1.2,0.7,2.9,45.0,22,0,1.4
101,Gerald Henderson,CHA,26,77,40,37,32.0,14.0,5.2,12.1,43.3,0.5,1.5,34.8,3.1,4.0,76.1,0.4,3.6,4.0,2.6,1.5,0.7,0.4,2.1,24.5,0,0,-0.9
101,Giannis Antetokounmpo,MIL,19,77,14,63,24.6,6.8,2.2,5.4,41.4,0.5,1.5,34.7,1.8,2.6,68.3,1.0,3.4,4.4,1.9,1.6,0.8,0.8,2.2,18.2,2,0,-2.3
101,Gordon Hayward,UTA,24,77,23,54,36.4,16.2,5.5,13.4,41.3,1.1,3.6,30.4,4.0,4.9,81.6,0.8,4.3,5.1,5.2,2.8,1.4,0.5,2.0,33.2,9,0,-5.1
101,Hollis Thompson,PHI,23,77,18,59,22.6,6.0,2.2,4.8,46.0,0.9,2.2,40.1,0.7,0.9,71.2,0.9,2.3,3.2,0.9,0.8,0.7,0.2,1.9,13.0,0,0,-4.7
101,Ian Mahinmi,IND,27,77,51,26,16.2,3.5,1.2,2.5,48.1,0.0,0.0,0.0,1.2,1.9,62.1,1.4,1.9,3.3,0.3,0.8,0.5,0.9,2.7,11.7,0,0,0.1
101,Jodie Meeks,LAL,26,77,25,52,33.2,15.7,5.4,11.6,46.3,2.1,5.2,40.1,2.9,3.4,85.7,0.4,2.1,2.5,1.8,1.4,1.4,0.1,1.5,24.5,0,0,-6.6
101,Josh Smith,DET,28,77,28,49,35.5,16.4,6.7,16.0,41.9,0.9,3.4,26.4,2.1,3.9,53.2,1.3,5.4,6.8,3.3,2.6,1.4,1.4,2.6,35.2,12,0,-2.5
101,Kevin Love,MIN,25,77,39,38,36.3,26.1,8.4,18.5,45.7,2.5,6.6,37.6,6.8,8.2,82.1,2.9,9.6,12.5,4.4,2.5,0.8,0.5,1.8,48.9,65,3,4.6
101,LeBron James,MIA,29,77,52,25,37.7,27.1,10.0,17.6,56.7,1.5,4.0,37.9,5.7,7.6,75.0,1.1,5.9,6.9,6.3,3.5,1.6,0.3,1.6,47.2,12,1,5.3
101,Tony Snell,CHI,22,77,46,31,16.0,4.5,1.7,4.4,38.4,0.7,2.3,32.0,0.4,0.5,75.6,0.2,1.4,1.6,0.9,0.6,0.4,0.2,1.1,8.9,0,0,-1.5
101,Trevor Ariza,WAS,28,77,41,36,35.4,14.4,5.1,11.1,45.6,2.3,5.7,40.7,1.9,2.5,77.2,1.3,4.9,6.2,2.5,1.7,1.6,0.3,2.3,29.5,11,0,2.5
115,Andrew Nicholson,ORL,24,76,19,57,15.4,5.7,2.4,5.5,42.9,0.4,1.2,31.5,0.6,0.8,82.5,0.7,2.7,3.4,0.3,0.7,0.2,0.3,2.0,11.2,3,0,-2.0
115,Anthony Morrow,NOP,28,76,32,44,18.8,8.4,3.1,6.8,45.8,1.2,2.6,45.1,0.9,1.1,82.8,0.4,1.5,1.8,0.8,0.7,0.5,0.2,1.3,13.0,0,0,0.6
115,Carlos Boozer,CHI,32,76,43,33,28.2,13.7,5.9,12.9,45.6,0.0,0.0,0.0,1.9,2.5,76.7,1.8,6.5,8.3,1.6,2.0,0.7,0.3,2.8,27.0,25,0,-0.4
115,Evan Fournier,DEN,21,76,35,41,19.8,8.4,3.0,7.2,41.9,1.2,3.1,37.6,1.2,1.6,75.6,0.4,2.2,2.7,1.5,1.3,0.4,0.1,2.4,14.1,0,0,0.1
115,George Hill,IND,28,76,50,26,32.0,10.3,3.6,8.1,44.2,1.3,3.4,36.5,1.9,2.3,80.7,0.7,3.0,3.7,3.5,1.2,1.0,0.3,2.1,22.6,0,0,4.2
115,Goran Dragic,PHX,28,76,45,31,35.1,20.3,7.3,14.4,50.5,1.6,3.9,40.8,4.2,5.5,76.0,0.9,2.3,3.2,5.9,2.8,1.4,0.3,2.7,35.2,7,0,4.0
115,Shaun Livingston,BKN,28,76,42,34,26.0,8.3,3.1,6.4,48.3,0.0,0.1,16.7,2.1,2.5,82.7,0.9,2.4,3.2,3.2,1.4,1.2,0.4,2.3,20.5,1,0,0.8
115,Shawn Marion,DAL,36,76,44,32,31.7,10.4,4.5,9.3,48.2,0.8,2.1,35.8,0.7,0.9,78.5,1.7,4.8,6.5,1.6,1.3,1.2,0.5,1.6,24.5,9,0,-1.8
