,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Season,MASCOT,URL
1,Memphis Grizzlies,82,56,26,0.6829999999999999,48.2,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17.0,23.1,73.4,14.1,35.0,49.2,26.0,13.2,9.8,6.5,6.0,19.8,19.8,5.7,2022,grizzlies,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/grizzlies.png
2,Golden State Warriors,82,53,29,0.6459999999999999,48.1,111.0,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21.0,18.0,5.5,2022,warriors,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/warriors.png
3,Miami Heat,82,53,29,0.6459999999999999,48.4,110.0,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,14.6,7.4,3.2,4.0,20.5,20.6,4.5,2022,heat,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/heat.png
4,Dallas Mavericks,82,52,30,0.634,48.2,108.0,39.3,85.1,46.1,13.1,37.4,35.0,16.4,21.2,77.1,9.3,33.8,43.0,23.4,12.5,6.7,4.0,3.7,19.7,20.1,3.3,2022,mavericks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/mavericks.png
5,Boston Celtics,82,51,31,0.622,48.5,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17.0,20.9,81.6,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,7.3,2022,celtics,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/celtics.png
6,Milwaukee Bucks,82,51,31,0.622,48.2,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.2,36.5,46.7,23.9,13.4,7.6,4.0,4.4,18.2,19.7,3.4,2022,bucks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/bucks.png
7,Philadelphia 76ers,82,51,31,0.622,48.3,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,12.5,7.7,5.3,4.6,19.4,19.4,2.6,2022,76ers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/76ers.png
8,Utah Jazz,82,49,33,0.598,48.1,113.6,40.6,86.2,47.1,14.5,40.3,36.0,17.9,23.4,76.7,10.8,35.6,46.3,22.4,14.0,7.2,4.9,4.3,18.9,20.3,6.0,2022,jazz,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/jazz.png
9,Denver Nuggets,82,48,34,0.585,48.3,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21.0,79.5,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20.0,19.9,2.3,2022,nuggets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/nuggets.png
10,Toronto Raptors,82,48,34,0.585,48.4,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32.0,45.3,22.1,12.5,9.0,4.6,5.1,19.6,19.1,2.3,2022,raptors,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/raptors.png
11,Chicago Bulls,82,46,36,0.561,48.1,111.6,41.7,86.9,48.0,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5.0,18.8,18.2,-0.4,2022,bulls,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/bulls.png
